Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
PokerStars,"lo-fi dream",3883653107,50.0,2025-05-21 13:30,2025-05-22 19:25,3146,5.0,H,No Limit,Normal,-127.50,1266,Bounty Progressive-Bounty Multi-Entry,USD,,107732,8,,"SCOOP 62-L: $55 NLHE [Progressive KO, Mini Bounty Builder HR], $200K Gtd - 2-Day Event",1375,25.0
PokerStars,"lo-fi dream",3883653107,50.0,2025-05-21 13:30,2025-05-22 19:25,3146,5.0,H,No Limit,Normal,-127.50,1851,Bounty Progressive-Bounty Multi-Entry,USD,,107732,8,,"SCOOP 62-L: $55 NLHE [Progressive KO, Mini Bounty Builder HR], $200K Gtd - 2-Day Event",1375,12.5
PokerStars,"lo-fi dream",3883653107,50.0,2025-05-21 13:30,2025-05-22 19:25,3146,5.0,H,No Limit,Normal,-127.50,4121,Bounty Progressive-Bounty Multi-Entry,USD,,107732,8,,"SCOOP 62-L: $55 NLHE [Progressive KO, Mini Bounty Builder HR], $200K Gtd - 2-Day Event",1375,37.5
PokerStars,"lo-fi dream",3891869057,40.0,2025-05-22 12:30,2025-05-22 18:14,358,4.0,H,No Limit,Normal,124.22,16,Bounty Multi-Entry,USD,,20697,8,168.22,"Bounty Builder $44, $15K Gtd",64,90.0
WPN,"fazmerir",33532676,100.0,2025-05-22 11:05,2025-05-22 16:38,149,9.0,H,No Limit,Normal,-109.00,129,Multi-Entry,USD,,20020,8,,"Big Poker Thursdays - $20,000 GTD",49,
GGNetwork,"gold soundz",206870488,27.6,2025-05-21 16:00,2025-05-22 01:45,2384,2.4,H,No Limit,Normal,-60.00,,Multi-Entry,USD,,35104,8,,"165-M: $30 Wednesday Triple Threat [3-Stack]",818,
GGNetwork,"gold soundz",206870475,297.6,2025-05-21 15:00,2025-05-22 01:27,1399,22.4,H,No Limit,Normal,-320.00,,Bounty Deep-Stack Mystery-Bounty Multi-Entry,USD,,37633,8,,"164-H: $320 Wednesday Wonderbox [Mystery Bounty]",746,
WPN,"fazmerir",33515760,100.0,2025-05-21 18:30,2025-05-22 01:26,194,9.0,H,No Limit,Normal,-109.00,186,Bounty Progressive-Bounty Multi-Entry,USD,,24993,8,,"OSSXL#199 PKO - $25,000 GTD",55,
WPN,"fazmerir",33513790,30.0,2025-05-21 17:30,2025-05-22 01:15,530,3.0,H,No Limit,Normal,-66.00,415,Bounty Progressive-Bounty Multi-Entry,USD,1,27930,8,,"OSSXL#197 PKO - $25,000 GTD",184,
GGNetwork,"gold soundz",206792804,23.0,2025-05-21 16:00,2025-05-22 01:09,2493,2.0,H,No Limit,Normal,-25.00,2192,Bounty,USD,,32940,8,,"GGMasters Bounty $25, $50K GTD",,
GGNetwork,"gold soundz",206870476,27.6,2025-05-21 15:00,2025-05-22 00:44,8944,2.4,H,No Limit,Normal,-47.75,511,Bounty Deep-Stack Mystery-Bounty Multi-Entry,USD,,35084,8,,"164-M: $30 Wednesday Wonderbox [Mystery Bounty]",5603,
GGNetwork,"gold soundz",206814321,23.0,2025-05-21 18:00,2025-05-22 00:18,1954,2.0,H,No Limit,Turbo,-25.00,1323,Bounty,USD,,22711,8,,"GGMasters Bounty Turbo $25, $40K GTD",,
GGNetwork,"gold soundz",206809063,49.68,2025-05-21 17:30,2025-05-22 00:17,370,4.32,H,No Limit,Normal,-54.00,,Bounty Deep-Stack Multi-Entry,USD,,24434,8,,"Bounty Hunters Encore $54",77,
WPN,"fazmerir",33502379,60.0,2025-05-21 15:30,2025-05-22 00:14,563,6.0,H,No Limit,Normal,-164.31,73,Bounty Progressive-Bounty Multi-Entry,USD,3,31491,8,99.69,"OSSXL#195H PKO - $40,000 GTD",247,30.0
PokerStars,"lo-fi dream",3890321141,20.0,2025-05-21 14:30,2025-05-21 23:47,2734,2.0,H,No Limit,Normal,367.37,27,Bounty Mystery-Bounty Multi-Entry,USD,,33460,8,389.37,"$22 Mini Wednesday Surprise [Mystery Bounty], $70K Gtd",866,326.56
