Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
GGNetwork,"LittleCop",194038934,30.36,2025-03-16 11:00,2025-03-17 00:00,2986,2.64,H,No Limit,Normal,-33.00,,Multi-Entry,USD,,46854,8,,"WSOPC: $33 Sunday Mini MARATHON",1097,
iPoker,"GOLDLILI",1118046759,50.0,2025-03-16 14:00,2025-03-16 23:51,658,5.0,H,No Limit,Normal,62.83,131,Bounty Deep-Stack Multi-Entry,EUR,,35465,8,117.83,"E3|GAELIC GAUNTLET XL",306,48.0
GGNetwork,"LittleCop",194039022,23.0,2025-03-16 18:00,2025-03-16 23:46,4756,2.0,H,No Limit,Turbo,-25.00,,Bounty Multi-Entry,USD,,20797,8,,"WSOPC: $25 Mini SHOWERS [Bounty Turbo]",1319,
GGNetwork,"LittleCop",194552079,46.0,2025-03-16 20:05,2025-03-16 23:44,1072,4.0,H,No Limit,Super Turbo,-50.00,,6-Max Multi-Entry,USD,,13192,6,,"Sunday Saver $50 [Hyper]",350,
GGNetwork,"LittleCop",194544384,60.72,2025-03-16 19:05,2025-03-16 23:42,1195,5.28,H,No Limit,Turbo,255.36,52,6-Max Bounty Deep-Stack Multi-Entry,USD,,16678,6,321.36,"Sunday SUPER SIX Bounty Turbo $66",243,
GGNetwork,"LittleCop",194539584,80.96,2025-03-16 18:30,2025-03-16 23:34,134,7.04,H,No Limit,Normal,116.36,11,Bounty Multi-Entry,USD,,18261,8,204.36,"Bounty Hunters Sunday Special $88",29,
PokerStars,"KKarlinhos",3868052021,30.0,2025-03-16 15:30,2025-03-16 23:10,1664,3.0,H,No Limit,Normal,-33.00,656,Bounty Multi-Entry,USD,,27636,8,,"Bounty Builder $33, $50K Gtd",338,
PokerStars,"KKarlinhos",3868050600,20.0,2025-03-16 19:15,2025-03-16 23:02,728,2.0,H,No Limit,Turbo,-22.00,730,Bounty Progressive-Bounty Multi-Entry,USD,,13664,8,,"Hotter $22 [Progressive KO], $12K Gtd",113,
iPoker,"GOLDLILI",1117930307,45.5,2025-03-16 14:00,2025-03-16 23:01,873,4.5,H,No Limit,Normal,-32.94,347,Bounty Deep-Stack Multi-Entry,EUR,,32495,8,17.06,"€50,000 | Sunday Eliminator",213,17.06
PokerStars,"KKarlinhos",3866282439,40.0,2025-03-16 12:30,2025-03-16 22:52,2186,4.0,H,No Limit,Normal,-44.00,1012,Bounty Mystery-Bounty Multi-Entry,USD,,37379,8,,"Red Lotus [Mystery Bounty] $44, $100K Gtd",669,
PokerStars,"KKarlinhos",3866282435,100.0,2025-03-16 12:05,2025-03-16 22:52,739,9.0,H,No Limit,Normal,-218.00,540,Multi-Entry,USD,,38877,8,,"$109 Sunday Warm-Up, $100K Gtd",264,
PokerStars,"KKarlinhos",3866282435,100.0,2025-03-16 12:05,2025-03-16 22:52,739,9.0,H,No Limit,Normal,-218.00,748,Multi-Entry,USD,,38877,8,,"$109 Sunday Warm-Up, $100K Gtd",264,
