Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
PokerStars,"JOAOFWEBBER",3812946011,9.8,2024-12-01 16:00,2024-12-02 20:03,9655,1.2,H,No Limit,Normal,-11.06,2128,Bounty Progressive-Bounty Multi-Entry,USD,,101026,8,,"Episode 30: $11 Sunday Storm [Progressive KO], $125K Gtd - 2-Day Event",4739,2.5
PokerStars,"JOAOFWEBBER",3812946011,9.8,2024-12-01 16:00,2024-12-02 20:03,9655,1.2,H,No Limit,Normal,-11.06,8121,Bounty Progressive-Bounty Multi-Entry,USD,,101026,8,,"Episode 30: $11 Sunday Storm [Progressive KO], $125K Gtd - 2-Day Event",4739,2.5
PartyPoker,"josealdo",399096980,10.0,2024-12-02 14:30,2024-12-02 19:38,268,1.0,H,No Limit,Normal,10.96,47,Multi-Entry,USD,,18508,7,21.96,"Daily Legends 7-Max: $3K Gtd",47,
GGNetwork,"joaofwebber_",176236826,9.2,2024-12-02 16:45,2024-12-02 19:32,973,0.8,H,No Limit,Super Turbo,19.18,86,6-Max Multi-Entry,USD,,10046,6,29.18,"Daily Hyper $10",275,
GGNetwork,"joaofwebber_",176250534,9.94,2024-12-02 18:10,2024-12-02 19:30,674,0.86,H,No Limit,Normal,-10.80,,6-Max Bounty Multi-Entry,USD,,4855,6,,"Speed Racer Bounty $10.80 [10 BB]",332,
PokerStars,"JOAOFWEBBER",3828557109,9.8,2024-12-02 15:15,2024-12-02 18:49,673,1.2,H,No Limit,Turbo,1283.52,1,Bounty Progressive-Bounty Multi-Entry,USD,,12861,8,1294.52,"Hot $11 [Progressive KO], $6K Gtd",86,764.06
GGNetwork,"joaofwebber_",176240889,4.97,2024-12-02 17:10,2024-12-02 18:32,910,0.43,H,No Limit,Normal,-5.40,,6-Max Bounty Multi-Entry,USD,,4948,6,,"Speed Racer Bounty $5.40 [10 BB]",472,
GGNetwork,"joaofwebber_",176227370,7.36,2024-12-02 15:45,2024-12-02 18:16,919,0.64,H,No Limit,Super Turbo,21.68,54,6-Max Multi-Entry,USD,,9104,6,29.68,"Daily Hyper $8",240,
PokerStars,"JOAOFWEBBER",3826174805,20.0,2024-12-01 15:00,2024-12-02 17:20,4832,2.0,H,No Limit,Normal,-19.00,1552,Bounty Progressive-Bounty Multi-Entry,USD,,94810,8,3.0,"$22 Mini Sunday Million, $100K Gtd - Progressive KO - 2-Day Event",1255,20.0
PokerStars,"JOAOFWEBBER",3826174805,20.0,2024-12-01 15:00,2024-12-02 17:20,4832,2.0,H,No Limit,Normal,-19.00,3939,Bounty Progressive-Bounty Multi-Entry,USD,,94810,8,3.0,"$22 Mini Sunday Million, $100K Gtd - Progressive KO - 2-Day Event",1255,5.0
