Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
GGNetwork,"CashinAintEasy",153774865,9.94,2024-07-21 15:30,2024-07-22 02:20,4743,0.86,H,No Limit,Normal,-16.60,1752,Bounty Multi-Entry,USD,,39000,8,,"Bounty Hunters 50 Grand $10.80",1458,
GGNetwork,"CashinAintEasy",151157541,46.0,2024-07-21 17:30,2024-07-22 02:02,2715,4.0,H,No Limit,Normal,67.35,1521,Bounty,USD,,30720,8,117.35,"Global MILLION$ Bounty Edition, $1M GTD [Final Stage]",,12.5
GGNetwork,"CashinAintEasy",153769540,13.8,2024-07-21 15:00,2024-07-22 01:10,6178,1.2,H,No Limit,Normal,-30.00,,Multi-Entry,USD,,36627,8,,"Sunday Hundred Grand $15, $100K",2048,
GGNetwork,"CashinAintEasy",153780747,23.0,2024-07-21 16:05,2024-07-22 01:07,2381,2.0,H,No Limit,Normal,-25.00,,Deep-Stack Multi-Entry,USD,,32575,8,,"Sunday Mini Main $25",742,
GGNetwork,"CashinAintEasy",153234363,29.44,2024-07-21 16:30,2024-07-22 01:02,4546,2.56,H,No Limit,Normal,-24.50,2197,Bounty Multi-Entry,USD,,30726,8,7.5,"$32 Sunday Bounty King",1320,
PokerStars,"iagomialaret",3773010485,20.0,2024-07-21 14:05,2024-07-22 00:16,15538,2.0,H,No Limit,Normal,-66.00,11385,Bounty Progressive-Bounty Multi-Entry,USD,,36686,8,,"MicroMillions 202: $22 NLHE [8-Max, Progressive KO, Main Event], $500K Gtd",9061,
PokerStars,"iagomialaret",3773010485,20.0,2024-07-21 14:05,2024-07-22 00:16,15538,2.0,H,No Limit,Normal,-66.00,19011,Bounty Progressive-Bounty Multi-Entry,USD,,36686,8,,"MicroMillions 202: $22 NLHE [8-Max, Progressive KO, Main Event], $500K Gtd",9061,
PokerStars,"iagomialaret",3773010485,20.0,2024-07-21 14:05,2024-07-22 00:16,15538,2.0,H,No Limit,Normal,-66.00,20236,Bounty Progressive-Bounty Multi-Entry,USD,,36686,8,,"MicroMillions 202: $22 NLHE [8-Max, Progressive KO, Main Event], $500K Gtd",9061,
GGNetwork,"CashinAintEasy",153234351,23.0,2024-07-21 14:30,2024-07-21 23:50,9486,2.0,H,No Limit,Normal,-10.00,2659,Bounty Deep-Stack Multi-Entry,USD,,33631,8,15.0,"$25 Sunday Bounty Big Game",3282,
GGNetwork,"CashinAintEasy",153234345,49.68,2024-07-21 13:30,2024-07-21 23:41,11664,4.32,H,No Limit,Normal,-95.50,9628,Bounty Deep-Stack Multi-Entry,USD,,36670,8,,"$54 Bounty Hunters Sunday Main Event",6205,
PokerStars,"iagomialaret",3776952010,9.8,2024-07-21 17:02,2024-07-21 23:40,2420,1.2,H,No Limit,Normal,-11.00,1178,Multi-Entry,USD,,23888,8,,"$11 Mini Sunday Fenomeno, $25K Gtd",639,
iPoker,"mialarinhAA",1094700965,22.75,2024-07-21 12:30,2024-07-21 23:36,1049,2.25,H,No Limit,Normal,-25.00,331,Bounty Deep-Stack Multi-Entry,EUR,,39965,8,,"€25,000|Sunday Bounty King",387,
PokerStars,"iagomialaret",3778459617,30.0,2024-07-21 15:30,2024-07-21 23:18,1489,3.0,H,No Limit,Normal,-33.00,754,Bounty Multi-Entry,USD,,28131,8,,"Bounty Builder $33, $50K Gtd",288,
GGNetwork,"CashinAintEasy",153739177,23.0,2024-07-21 12:05,2024-07-21 23:07,3252,2.0,H,No Limit,Normal,34.23,358,Deep-Stack Multi-Entry,USD,,39763,8,59.23,"Mini Grand Prix $25",1046,
PokerStars,"iagomialaret",3776952003,50.0,2024-07-21 13:30,2024-07-21 22:45,3434,5.0,H,No Limit,Normal,-55.00,3823,Bounty Progressive-Bounty Multi-Entry,USD,,33309,8,,"$55 Mini Bounty Builder HR [Progressive KO], $200K Gtd",1213,
GGNetwork,"CashinAintEasy",153234306,9.94,2024-07-21 10:30,2024-07-21 21:21,7873,0.86,H,No Limit,Normal,-21.60,,Bounty Multi-Entry,USD,,39112,7,,"$10.80 Sunday Bounty Seven-Max",3119,
PokerStars,"iagomialaret",3776951998,24.55,2024-07-21 11:30,2024-07-21 21:21,2613,2.45,H,No Limit,Normal,-20.88,1458,Bounty Progressive-Bounty Multi-Entry,USD,,35462,8,6.12,"$27 Sunday Eliminator [Progressive KO], $70K Gtd",761,6.12
