Rede, Jogador, ID do Jogo, Stake, Data de Início, Data de Conclusão, Participantes, Rake, Jogo, Estrutura, Velocidade, Resultado (incluindo Rake), Posição, Bandeiras, Moeda, Reentradas/Recompras, Duração, Jogadores por mesa, Prêmio, Nome, Total de Reentradas, Prêmio de Recompensa
PokerStars(FR-ES-PT),"RedemptionRiver",3983882893,45.0,2026-03-29 16:00,2026-03-30 23:39,2022,5.0,H,No Limit,Normal,-38.75,1618,Bounty Progressive-Bounty Multi-Entry,EUR,,113964,8,11.25,"SCOOP-08: €50 50 Special [Progressive KO, 8-Max], €75,000 guaranteed",493,11.25
PokerStars,"Mr.Bittar",3986047002,68.18,2026-03-29 14:05,2026-03-30 18:51,5137,6.82,H,No Limit,Normal,-57.50,2598,Bounty Progressive-Bounty Multi-Entry,USD,,103574,8,17.5,"$75 NLHE [Sunday Special, Progressive KO], $350K Gtd - Progressive KO - 2-Day Event",1282,17.5
GGNetwork,"Bittar2025",273432899,8.17,2026-03-30 13:45,2026-03-30 17:32,1355,0.71,H,No Limit,Super Turbo,-8.88,,Multi-Entry,USD,,13622,8,,"Daily Hyper Special $8.88 [8-Max]",343,
GGNetwork,"Bittar2025",273432898,18.4,2026-03-30 13:45,2026-03-30 16:09,518,1.6,H,No Limit,Super Turbo,142.75,9,6-Max Multi-Entry,USD,,8650,6,162.75,"Daily Hyper $20",124,
GGNetwork,"Bittar2025",273420067,7.36,2026-03-30 12:45,2026-03-30 15:28,1010,0.64,H,No Limit,Super Turbo,-8.00,,6-Max Multi-Entry,USD,,9789,6,,"Daily Hyper $8",289,
GGNetwork,"Bittar2025",273219518,138.0,2026-03-29 14:00,2026-03-30 15:23,7930,12.0,H,No Limit,Normal,-150.00,5861,,USD,,91407,8,,"GGMasters $150, $1M GTD [2-Day Event]",,
GGNetwork,"Bittar2025",273420066,27.6,2026-03-30 12:45,2026-03-30 15:02,284,2.4,H,No Limit,Super Turbo,-30.00,,6-Max Multi-Entry,USD,,8220,6,,"Daily Hyper $30",62,
GGNetwork,"Bittar2025",272476269,99.36,2026-03-29 17:05,2026-03-30 02:15,5428,8.64,H,No Limit,Normal,-216.00,,Bounty Mystery-Bounty Multi-Entry,USD,,33017,8,,"WSOP-SC: $108 Sunday Showdown [Mystery Bounty]",3068,
GGNetwork,"Bittar2025",273231523,13.8,2026-03-29 15:00,2026-03-30 01:52,6589,1.2,H,No Limit,Normal,-45.00,,Multi-Entry,USD,,39134,8,,"Sunday Hundred Grand $15, $100K GTD",2105,
GGNetwork,"Bittar2025",273262703,49.68,2026-03-29 17:40,2026-03-30 01:29,1100,4.32,H,No Limit,Normal,-54.00,,Bounty Deep-Stack Multi-Entry,USD,,28142,8,,"Bounty Hunters Sunday Encore $54",233,
GGNetwork,"Bittar2025",272476254,99.36,2026-03-29 15:30,2026-03-30 01:20,2878,8.64,H,No Limit,Normal,7889.09,6,Bounty,USD,,35417,8,7997.09,"WSOP-SC: $108 Bounty Hunters Circuit Freezeout",,
GGNetwork,"Bittar2025",272476245,197.8,2026-03-29 14:30,2026-03-30 01:17,1946,17.2,H,No Limit,Normal,-215.00,,Bounty Deep-Stack Multi-Entry,USD,,38848,8,,"WSOP-SC: $215 Sunday Bounty BIG DANCE",597,
GGNetwork,"Bittar2025",273249318,29.44,2026-03-29 16:30,2026-03-30 01:14,3052,2.56,H,No Limit,Normal,1.75,765,Bounty Multi-Entry,USD,,31479,8,33.75,"Sunday Bounty King $32",731,
GGNetwork,"Bittar2025",272476262,23.0,2026-03-29 16:00,2026-03-30 01:04,3970,2.0,H,No Limit,Normal,26.69,734,Multi-Entry,USD,,32659,8,51.69,"WSOP-SC: $25 Sunday Mini Super CLASSIC",1278,
GGNetwork,"Bittar2025",272476253,50.6,2026-03-29 15:05,2026-03-30 00:54,2790,4.4,H,No Limit,Normal,-110.00,,Deep-Stack Multi-Entry,USD,,35371,8,,"WSOP-SC: $55 Sunday Fifty Stack",1009,
GGNetwork,"Bittar2025",272476255,13.8,2026-03-29 15:30,2026-03-30 00:45,10084,1.2,H,No Limit,Normal,-11.50,5968,Bounty,USD,,33342,8,3.5,"WSOP-SC: $15 Bounty Hunters Circuit Freezeout",,
GGNetwork,"Bittar2025",272476239,49.68,2026-03-29 13:30,2026-03-30 00:32,14814,4.32,H,No Limit,Normal,46.79,1346,Bounty Deep-Stack Multi-Entry,USD,,39739,8,100.79,"WSOP-SC: $54 Bounty Hunters Sunday Main Event, $1M GTD",8317,
GGNetwork,"Bittar2025",273277339,60.72,2026-03-29 19:05,2026-03-30 00:20,1423,5.28,H,No Limit,Turbo,-9.75,200,6-Max Bounty Deep-Stack Multi-Entry,USD,,18904,6,56.25,"Sunday SUPER SIX Bounty Turbo $66",360,
GGNetwork,"Bittar2025",272476293,50.6,2026-03-29 21:05,2026-03-30 00:19,1422,4.4,H,No Limit,Normal,-110.00,,6-Max Bounty Deep-Stack Multi-Entry,USD,,11654,6,,"WSOP-SC: $55 Sunday CLOSER [Bounty Hyper]",460,
GGNetwork,"Bittar2025",273225331,19.87,2026-03-29 14:30,2026-03-29 23:53,7826,1.73,H,No Limit,Normal,-43.20,,Bounty Deep-Stack Multi-Entry,USD,,33826,8,,"Bounty Hunters Sunday Big Game $21.60",2346,
GGNetwork,"Bittar2025",273291791,46.0,2026-03-29 20:45,2026-03-29 23:51,433,4.0,H,No Limit,Super Turbo,-50.00,,6-Max Multi-Entry,USD,,11188,6,,"Sunday Hypersonic $50",137,
GGNetwork,"Bittar2025",272476280,23.0,2026-03-29 18:00,2026-03-29 23:42,4748,2.0,H,No Limit,Turbo,14.07,671,Bounty Multi-Entry,USD,,20550,8,39.07,"WSOP-SC: $25 Mini SHOWERS [Bounty Turbo]",1342,
